Timestamp,Do you agree to participate in this survey?,1. Your Location,2. Your Region/State,3. What is your age group?,4. What is your approximate monthly household income?(MMK),5. What is the highest level of education you have completed?,6. How often do you use single-use plastic items in your weekly life?,7.Which of the following single-use plastic items do you usually use in your weekly life?,8. Where do you usually get your single-use plastic from?,9. How many plastic bags do you usually get from shops or markets in your weekly life?,"10. When buying street food or market food, how often does it come in plastic?","11. Compared to what you see outside (litter, packaging, shops), do you think you personally use:",12. What do you often do with your plastic waste after you use the product?,13. What do you think happens to the plastic you throw in the bin in your region?,14. How aware are you that plastic production and disposal contributes to climate change?,15. Do you believe current plastic usage in Myanmar is contributing to climate change?,16. When do you think the effects of today’s plastic usage on climate change will become noticeable?,17. Would you support reducing single-use plastics or replacing them with alternatives?,18. Do you think that plastic waste is burned?,19. What percentage of plastic waste do you think is burned?,20. Do you think that plastic waste usually ends up in a landfill site?,21. What percentage of plastic waste ends up in a landfill or dumping ground?,22. How do you think plastic waste in landfills and open burning affects climate change?
2/13/2026 14:03:20,Yes,Semi-urban,Tanintharyi,18-25,"600,001-1,000,000",Vocational Training,More than 10,"Plastic bags, Bottled water","Local markets, Street Vendors",1-2,Always,About the same,Throw in bin,Ends up in landfills,Not aware,Yes,More than 10 years,Strongly support,Yes,More than half (51%-75%),Yes,More than 75%,Not sure
2/14/2026 9:22:35,Yes,Urban,Kachin,26-35,"300,000-600,000",University/College,1-2,"Plastic containers, Food sachets","Food Delivery, Online Delivery",3-5,Always,Much less than others,Throw in bin,Ends up in landfills,Somewhat aware,Yes,Already visible now,Neutral,No,Less than half (1%-25%),Yes,51%-75%,Release GHG
2/16/2026 12:49:34,Yes,Urban,Kayah,18-25,"Less than 300,000",High school,3-5,"Plastic bags, Plastic straws","Supermarkets, Coffee/tea shops",More than 10,Always,A little more,Throw in bin,Burned,Very aware,Yes,Already visible now,Support,Yes,Almost all of it (76%-100%),Yes,25%-50%,Increases the Earth’s temperature
2/17/2026 12:23:41,Yes,Semi-urban,Chin,18-25,"More than 1,000,000",Postgraduate,3-5,"Plastic bags, Bottled water, Plastic containers","Local markets, Street Vendors, Food Delivery",1-2,Always,About the same,Reuse,Ends up in landfills,Neutral,Yes,Within 1-2 years,Strongly support,Yes,About half (26%-50%),Yes,More than 75%,Release GHG
2/19/2026 20:37:29,Yes,Rural,Yangon,36-50,"300,000-600,000",University/College,6-10,Food sachets,"Street Vendors, Coffee/tea shops",1-2,Sometimes,Less than others,Throw in bin,Ends up in rivers,Very aware,Not Sure,Already visible now,Strongly support,Yes,Less than half (1%-25%),No,Not sure,Doesn’t affect climate change
2/13/2026 14:03:20,Yes,Urban,Mandalay,18-25,No income,Middle school,1-2,"Plastic bags, Bottled water, Plastic straws, Disposable forks","Supermarkets, Online Delivery",6-10,Always,About the same,Throw in bin,Ends up in landfills,Somewhat aware,Yes,Already visible now,Strongly support,Yes,More than half (51%-75%),Yes,51%-75%,Release GHG
2/14/2026 9:22:35,Yes,Urban,Bago,26-35,"600,001-1,000,000",High school,More than 10,"Plastic bags, Plastic containers, Food sachets",Local markets,6-10,Always,About the same,Recycle,I don’t know,Very aware,Yes,Not sure,Support,No,Not applicable,Yes,51%-75%,Pollutes soil/water
2/16/2026 12:49:34,Yes,Prefer not to say,Ayeyarwady,18-25,"Less than 300,000",University/College,3-5,Bottled water,"Local markets, Street Vendors, Coffee/tea shops",1-2,Always,About the same,Throw in bin,Ends up in landfills,Very aware,Yes,Already visible now,Strongly support,Yes,About half (26%-50%),Yes,More than 75%,Increases the Earth’s temperature
2/17/2026 12:23:41,Yes,Semi-urban,Sagaing,18-25,Prefer not to say,Primary school,6-10,"Plastic bags, Food sachets",Food Delivery,6-10,Always,Less than others,Throw in bin,Ends up in landfills,Slightly aware,No,Already visible now,Strongly support,Yes,Less than half (1%-25%),Not sure,25%-50%,Release GHG
2/19/2026 20:37:29,Yes,Urban,Magway,26-35,"300,000-600,000",Vocational Training,1-2,"Plastic bags, Bottled water, Plastic containers, Plastic straws","Supermarkets, Local markets, Street Vendors",More than 10,Sometimes,About the same,Throw in bin,Burned,Somewhat aware,Yes,Within 6-10 years,Neutral,Yes,More than half (51%-75%),Yes,Less than 25%,Not sure
